EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105113 105118 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
105113,19020713,   74,    0
105113,19020714,  117,    0
105113,19020715,  103,    0
105113,19020716,   44,    0
105113,19020717,   36,    0
105113,19020718,  103,    0
105113,19020719,   34,    0
105113,19020720,   26,    0
105113,19020721,   38,    0
105113,19020722,   92,    0
105113,19020723,  130,    0
105113,19020724,   53,    0
105113,19020725,  126,    0
105113,19020726,  132,    0
105113,19020727,   95,    0
105113,19020728,  128,    0
105113,19020729,  132,    0
105113,19020730,  131,    0
105113,19020731,   81,    0
105113,19020801,   27,    0
105113,19020802,    5,    0
105113,19020803,   91,    0
105113,19020804,  127,    0
105113,19020805,   27,    0
105113,19020806,  123,    0
105113,19020807,   78,    0
105113,19020808,   58,    0
105113,19020809,  111,    0
105113,19020810,   94,    0
105113,19020811,   35,    0
105113,19020812,   10,    0
105113,19020813,   46,    0
105113,19020814,  113,    0
105113,19020815,  125,    0
105113,19020816,  102,    0
105113,19020817,   52,    0
105113,19020818,  125,    0
105113,19020819,   97,    0
105113,19020820,   49,    0
105113,19020821,   94,    0
105113,19020822,  122,    0
105113,19020823,  123,    0
105113,19020824,  101,    0
105113,19020825,    0,    0
105113,19020826,    0,    0
105113,19020827,   75,    0
105113,19020828,   28,    0
105113,19020829,   21,    0
105113,19020830,   74,    0
105113,19020831,  104,    0
105113,19020901,   40,    0
105113,19020902,   86,    0
105113,19020903,  109,    0
105113,19020904,  103,    0
105113,19020905,   19,    0
105113,19020906,   53,    0
105113,19020907,   98,    0
105113,19020908,   73,    0
105113,19020909,   51,    0
105113,19020910,   67,    0
105113,19020911,   20,    0
105113,19020912,    7,    0
105113,19020913,    0,    0
105113,19020914,   95,    0
105113,19020915,  103,    0
105113,19020916,  103,    0
105113,19020917,   52,    0
105113,19020918,   80,    0
105113,19020919,   89,    0
105113,19020920,   99,    0
105113,19020921,   79,    0
105113,19020922,   48,    0
105113,19020923,   59,    0
105113,19020924,   20,    0
105113,19020925,   21,    0
105113,19020926,   58,    0
105113,19020927,   64,    0
105113,19020928,   82,    0
105113,19020929,    0,    0
105113,19020930,   17,    0
105113,19021001,   76,    0
105113,19021002,    0,    0
105113,19021003,   58,    0
105113,19021004,    0,    0
105113,19021005,    5,    0
105113,19021006,   19,    0
105113,19021007,   22,    0
105113,19021008,    0,    0
105113,19021009,   15,    0
105113,19021010,   30,    0
105113,19021011,    0,    0
105113,19021012,   39,    0
105113,19021013,   68,    0
105113,19021014,   40,    0
105113,19021015,   15,    0
105113,19021016,    0,    0
105113,19021017,   43,    0
105113,19021018,   24,    0
105113,19021019,   18,    0
105113,19021020,   34,    0
105113,19021021,    8,    0
105113,19021022,   61,    0
105113,19021023,   27,    0
105113,19021024,   14,    0
105113,19021025,   26,    0
105113,19021026,    0,    0
105113,19021027,   56,    0
105113,19021028,   44,    0
105113,19021029,   37,    0
105113,19021030,    0,    0
105113,19021031,    0,    0
105113,19021101,    0,    0
105113,19021102,   44,    0
105113,19021103,   71,    0
105113,19021104,    0,    0
105113,19021105,    0,    0
105113,19021106,    3,    0
105113,19021107,    8,    0
105113,19021108,   76,    0
105113,19021109,    0,    0
105113,19021110,   57,    0
105113,19021111,   36,    0
105113,19021112,    0,    0
105113,19021113,    0,    0
105113,19021114,    0,    0
105113,19021115,    0,    0
105113,19021116,    0,    0
105113,19021117,    0,    0
105113,19021118,    0,    0
105113,19021119,    0,    0
105113,19021120,    0,    0
105113,19021121,    0,    0
105113,19021122,   18,    0
105113,19021123,    3,    0
105113,19021124,   20,    0
105113,19021125,    0,    0
105113,19021126,    0,    0
105113,19021127,   25,    0
105113,19021128,   32,    0
105113,19021129,   13,    0
105113,19021130,    0,    0
105113,19021201,    0,    0
105113,19021202,   21,    0
105113,19021203,    9,    0
105113,19021204,    0,    0
105113,19021205,    0,    0
105113,19021206,    0,    0
105113,19021207,    0,    0
105113,19021208,    0,    0
105113,19021209,    0,    0
105113,19021210,    0,    0
105113,19021211,    0,    0
105113,19021212,    0,    0
105113,19021213,    0,    0
105113,19021214,    0,    0
105113,19021215,    0,    0
105113,19021216,    0,    0
105113,19021217,    0,    0
105113,19021218,    0,    0
105113,19021219,    2,    0
105113,19021220,    0,    0
105113,19021221,    0,    0
105113,19021222,   52,    0
105113,19021223,    0,    0
105113,19021224,    7,    0
105113,19021225,    0,    0
105113,19021226,    0,    0
105113,19021227,   30,    0
105113,19021228,   40,    0
105113,19021229,   42,    0
105113,19021230,    0,    0
105113,19021231,   40,    0
105113,19030101,   39,    0
105113,19030102,    0,    0
105113,19030103,    0,    0
105113,19030104,    0,    0
105113,19030105,   35,    0
105113,19030106,   40,    0
105113,19030107,   25,    0
105113,19030108,   26,    0
105113,19030109,    3,    0
105113,19030110,    0,    0
105113,19030111,    0,    0
105113,19030112,    0,    0
105113,19030113,    0,    0
105113,19030114,    0,    0
105113,19030115,    0,    0
105113,19030116,    0,    0
105113,19030117,    0,    0
105113,19030118,    0,    0
105113,19030119,    0,    0
105113,19030120,    0,    0
105113,19030121,   27,    0
105113,19030122,    0,    0
105113,19030123,    0,    0
105113,19030124,   38,    0
105113,19030125,   31,    0
105113,19030126,   40,    0
105113,19030127,   62,    0
105113,19030128,   71,    0
105113,19030129,   67,    0
105113,19030130,   56,    0
105113,19030131,   54,    0
105113,19030201,    0,    0
105113,19030202,    0,    0
105113,19030203,   62,    0
105113,19030204,   51,    0
105113,19030205,   42,    0
105113,19030206,    0,    0
105113,19030207,    0,    0
105113,19030208,   40,    0
105113,19030209,   40,    0
105113,19030210,   55,    0
105113,19030211,   23,    0
105113,19030212,   12,    0
105113,19030213,   62,    0
105113,19030214,   75,    0
105113,19030215,    0,    0
105113,19030216,   69,    0
105113,19030217,   78,    0
105113,19030218,   78,    0
105113,19030219,   63,    0
105113,19030220,   75,    0
105113,19030221,   41,    0
105113,19030222,    0,    0
105113,19030223,    0,    0
105113,19030224,   85,    0
105113,19030225,   54,    0
105113,19030226,    0,    0
105113,19030227,   38,    0
105113,19030228,    0,    0
105113,19030301,   86,    0
105113,19030302,   14,    0
105113,19030303,    0,    0
105113,19030304,   89,    0
105113,19030305,   38,    0
105113,19030306,    2,    0
105113,19030307,   88,    0
105113,19030308,    2,    0
105113,19030309,   32,    0
105113,19030310,   81,    0
105113,19030311,   75,    0
105113,19030312,   27,    0
105113,19030313,   85,    0
105113,19030314,   82,    0
105113,19030315,   44,    0
105113,19030316,    0,    0
105113,19030317,   63,    0
105113,19030318,    0,    0
105113,19030319,   96,    0
105113,19030320,   88,    0
105113,19030321,   89,    0
105113,19030322,   87,    0
105113,19030323,   85,    0
105113,19030324,   51,    0
105113,19030325,   80,    0
105113,19030326,    9,    0
105113,19030327,   14,    0
105113,19030328,   77,    0
105113,19030329,   35,    0
105113,19030330,   47,    0
105113,19030331,   26,    0
105113,19030401,   43,    0
105113,19030402,    6,    0
105113,19030403,    0,    0
105113,19030404,   58,    0
105113,19030405,    9,    0
105113,19030406,   91,    0
105113,19030407,   90,    0
105113,19030408,   16,    0
105113,19030409,   22,    0
105113,19030410,   72,    0
105113,19030411,   87,    0
105113,19030412,   10,    0
105113,19030413,   66,    0
105113,19030414,   61,    0
105113,19030415,   83,    0
105113,19030416,    0,    0
105113,19030417,   23,    0
105113,19030418,   55,    0
105113,19030419,   87,    0
105113,19030420,  100,    0
105113,19030421,   77,    0
105113,19030422,   31,    0
105113,19030423,    0,    0
105113,19030424,   58,    0
105113,19030425,   30,    0
105113,19030426,   19,    0
105113,19030427,    0,    0
105113,19030428,   55,    0
105113,19030429,    0,    0
105113,19030430,   12,    0
105113,19030501,    0,    0
105113,19030502,    3,    0
105113,19030503,   89,    0
105113,19030504,   43,    0
105113,19030505,   63,    0
105113,19030506,  104,    0
105113,19030507,   45,    0
105113,19030508,    0,    0
105113,19030509,   73,    0
105113,19030510,   78,    0
105113,19030511,   82,    0
105113,19030512,   14,    0
105113,19030513,  100,    0
105113,19030514,  119,    0
105113,19030515,   69,    0
105113,19030516,   79,    0
105113,19030517,    0,    0
105113,19030518,  112,    0
105113,19030519,  113,    0
105113,19030520,  116,    0
105113,19030521,  125,    0
105113,19030522,  114,    0
105113,19030523,  119,    0
105113,19030524,  121,    0
105113,19030525,   97,    0
105113,19030526,  112,    0
105113,19030527,   81,    0
105113,19030528,   66,    0
105113,19030529,   96,    0
105113,19030530,   71,    0
105113,19030531,   85,    0
